Abstract,Link,Label
it is argued that supermassive black holes in the nuclei of galaxies most likely have grown coevally with their host dark matter halos a calculation based on pressschechter within this framework shows that the mean rate of accretion of matter onto such black holes varies from a value about 0003 of the eddington rate at the present epoch to a value around 008 at redshift 3 the bulk of agn evolution may be explained as a reflection of the diminishing rate of accretion of material onto galaxies the result is almost independent of mass of host dark matter halo and is only weakly dependent on the values of cosmological parameters at high redshifts z greater than about 5 black holes in galaxies would have been accreting close to the eddington limit which is likely to lead to galactic outflows being ubiquitous at those epochs,http://arxiv.org/abs/astro-ph/0506591v2,Astronomy
phase transitions in the early universe are prime settings for the production of primordial black holes since they can break the relatively quiescent homogeneity and isotropy of friedmannrobertsonwalker frw cosmologies these epochs of symmetry breaking moreover can affect the subsequent development of spacetime by changing the evolution of some frw parameters including the present age and density of the universe we discuss the relative importance of such effects on constraining mechanisms of black hole formation,http://arxiv.org/abs/astro-ph/0003062v1,Astronomy
we investigate the coupled formation and evolution of galaxies and their embedded supermassive black holes using stateoftheart hydrodynamic simulations of cosmological structure formation for the first time we selfconsistently follow the dark matter dynamics radiative gas cooling star formation as well as black hole growth and associated feedback processes starting directly from initial conditions appropriate for the lambdacdm cosmology our modeling of the black hole physics is based on an approach we have developed in simulations of isolated galaxy mergers here we examine i the predicted global history of black hole mass assembly ii the evolution of the local black holehost mass correlations and iii the conditions that allow rapid growth of the first quasars and the properties of their hosts and descendants today we find a total black hole mass density in good agreement with observational estimates the black hole accretion rate density peaks at lower redshift and evolves more strongly at high redshift than the star formation rate density but the ratio of black hole to stellar mass densities shows only a moderate evolution at low redshifts we find strong correlations between black hole masses and properties of the stellar systems agreeing well with the measured local mbhsigma and mbh m relationships but also suggesting dependent on the mass range a weak evolution with redshift in the normalization and the slope our simulations also produce massive black holes at high redshift due to extended periods of exponential growth in regions that collapse early and exhibit strong gas inflows these first supermassive bh systems however are not necessarily the most massive ones today since they are often overtaken in growth by quasars that form later abridged,http://arxiv.org/abs/0705.2269v1,Astronomy
we study a cosmological model in which the boson dark matter gradually condensates into dark energy negative pressure associated with the condensate yields the accelerated expansion of the universe and the rapid collapse of the smallest scale fluctuations into many black holes which become the seeds of the first galaxies the cycle of gradual sedimentation and rapid collapse of condensate repeats many times and selfregularizes the ratio of dark energy and dark matter to be order one,http://arxiv.org/abs/astro-ph/0403571v1,Astronomy
the physical basis of the modern cosmological inflationary models with baryosynthesis and nonbaryonic dark matter and energy implies such predictions of particle theory that in turn apply to cosmology for their test it makes physics of early universe ambiguous and particle model dependent the study of modern cosmology is inevitably linked with the probe for the new physics underlying it the particle model dependent phenomena such as unstable dark matter primordial black holes strong primordial inhomogeneities can play important role in revealing the true physical cosmology such phenomena having serious physical grounds and leading to new nontrivial cosmological scenarious should be taken into account in the data analysis of observational cosmology,http://arxiv.org/abs/astro-ph/0309703v1,Astronomy
this poster discusses a possible explanation for the relationship between the mass of the central supermassive black hole and the velocity dispersion in the bulge of the host galaxy we suppose that the black hole and the dark matter halo are forming simultaneously as matter falls in and a selfsimilar system then exists in which the mass and the velocities of the system evolve as powerlaw functions of time this leads naturally to a relationship between the black hole mass and the velocities in the halo which with a reasonable choice of cosmological parameters is in good agreement with the observed relationship we also confirm this relationship with more robust numerical results,http://arxiv.org/abs/astro-ph/0212278v2,Astronomy
we describe the model of protogalaxy formation around the cluster of primordial black holes with a minimum extension of standard cosmological model namely it is supposed that a mass fraction of the universe 103 is composed of the compact clusters of primordial relict black holes produced during the phase transitions in the early universe these clusters are the centers of the dark matter dm condensations as a result the protogalaxies with a mass 2x108msun form at the redshift z15 these induced protogalaxies contain the central black holes of mass 105msun and look like the dwarf spheroidal galaxies with a central density spike subsequent merging of the induced protogalaxies and ordinary dm haloes leads to the standard scenario of the large scale structure formation black holes merging gives the nowadays supermassive black holes and reproduces the observed correlations between their masses and velocity dispersions in the bulges,http://arxiv.org/abs/astro-ph/0412479v1,Astronomy
this work is related to different questions within cosmology the principal idea herein is to develop cosmological knowledge making use of the analyses of observational data in order to find the values of the matter density omegam and vacuum energy density omegalambda data fitting is carried out using two statistical methods chi2 and maximum likelihood the data analysis exhibits that a low density and flat universe is strongly favoured applying the omegam value found for clusters of galaxies we demonstrate that clusters have very little room for baryonic dark matter an upper limit to the small but nonnegligible sum of baryonic dark matter and galaxy mass can be estimated requiring the use of special statistics a toroidal black hole tbh study in contrast to the spherical black hole sbh shows that the tbh can be used as an important tool in explaining agn phenomena,http://arxiv.org/abs/astro-ph/0210253v1,Astronomy
we incorporate a simple scheme for the growth of supermassive black holes into semianalytic models that follow the formation and evolution of galaxies in a cold dark matter dominated universe we assume that supermassive black holes are formed and fuelled during major mergers if two galaxies of comparable mass merge their central black holes coalesce and a few percent of the gas in the merger remnant is accreted by the new black hole over a timescale of a few times 107 years with these simple assumptions our model not only fits many aspects of the observed evolution of galaxies but also reproduces quantitatively the observed relation between bulge luminosity and black hole mass in nearby galaxies the strong evolution of the quasar population with redshift and the relation between the luminosities of nearby quasars and those of their host galaxies the strong decline in the number density of quasars from z2 to z0 is due to the combination of three effects i a decrease in the merging rate ii a decrease in the amount of cold gas available to fuel black holes and iii an increase in the timescale for gas accretion in a lcdm cosmology the predicted decline in the total content of cold gas in galaxies is consistent with that inferred from observations of damped lymanalpha systems our results strongly suggest that the evolution of supermassive black holes quasars and starbursts is inextricably linked to the hierarchical buildup of galaxies,http://arxiv.org/abs/astro-ph/9906493v1,Astronomy
if the dark matter in galactic halos is made up of compact macroscopic objects mo such as black holes with mmo mstars gravitational scattering will lead to kinematic heating of the stars observational constraints on the amount of heating in the disk of the milky way put upper limits on mmo ltorder 1063msun we find limits that are three orders of magnitude more stringent by examining the heating limits in low mass stellar systems where higher densities of dark matter and lower relative velocities disperse the stars in less than a billion years specifically the structure and kinematics of the local group member gr8 yield a limit of mmo ltorder 6times 103msun if the properties of the dark matter are universal these results preclude the dominance of dark matter constituents in the cosmologically interesting mass range sim 106msun and limit them to mmo ltorder 1037msun these results also rule out massive compact halo objects as significant contributors to the kinematic heating of the galactic disk,http://arxiv.org/abs/astro-ph/9308022v1,Astronomy
dark matter in the universe consisting of macroscopic objects such as primordial black holes may cause gravitational lensing of distant objects the magnification associated with lensing will lead to additional scatter in the received flux from standard candles and too small an observed scatter could rule out compact dark matter entirely in this letter we show how the scatter in fluxes of distant type 1a supernovae could be used to distinguish between models with and without lensing by macroscopic dark matter the proposed snap project with sim 2400 supernovae in the range 01ls zls 17 should be able to identify models at 999 confidence if systematic errors are controlled note that this test is independent of any evolution of the mean supernova luminosity with redshift the variances of the current supernova cosmology project sample do not rule out compact lenses as dark matter formally they favour such a population but the significance is low and removal of a single faint supernova from the sample reverses the conclusion,http://arxiv.org/abs/astro-ph/0104221v2,Astronomy
the possibility that the masses of supermassive black holes sbhs correlate with the total gravitational mass of their host galaxy or the mass of the dark matter halo in which they presumably formed is investigated using a sample of 16 spiral and 20 elliptical galaxies the bulge velocity dispersion typically defined within an aperture of size less than 05 kpc is found to correlate tightly with the galaxys circular velocity the latter measured at distances from the galactic center at which the rotation curve is flat 20 to 80kpc by using the well known msigma relation for sbhs and a prescription to relate the circular velocity to the mass of the dark matter halo in a standard cdm cosmology the correlation between velocity dispersion and circular velocity is equivalent to one between sbh and halo masses such a correlation is found to be nonlinear with the ratio between the two masses decreasing from 2x104 for halos of 1014 solar masses to 105 for halos of 1012 solar masses preliminary evidence suggests that halos smaller than 5x1011 solar masses are increasingly less efficient perhaps unable at forming sbhs,http://arxiv.org/abs/astro-ph/0203469v2,Astronomy
the astrophysical processes that led to the formation of the first seed black holes and to their growth into the supermassive variety that powers bright quasars at redshift 6 are poorly understood in standard lcdm hierarchical cosmologies the earliest massive holes mbhs likely formed at redshift z15 at the centers of lowmass m5e5 solar masses dark matter minihalos and produced hard radiation by accretion fuvxray photons from such miniquasars may have permeated the universe more uniformly than euv radiation reduced gas clumping and changed the chemistry of primordial gas the role of accreting seed black holes in determining the thermal and ionization state of the intergalactic medium depends on the amount of cold and dense gas that forms and gets retained in protogalaxies after the formation of the first stars the highest resolution nbody simulation to date of galactic substructure shows that subhalos below the atomic cooling mass were very inefficient at forming stars,http://arxiv.org/abs/astro-ph/0701394v1,Astronomy
we show that the luminosity function of the actively starforming lyman break galaxies and the bband quasar luminosity function at z 3 can be fit reasonably well with the mass function of collapsed galaxy scale dark matter haloes predicted by viable variants of hierarchical cold dark matter dominated cosmological models for lifetimes tq of the optically bright phase of qsos in the range 106 to 108 yr there is a strong correlation between tq and the required degree of nonlinearity in the relation between black hole and host halo mass such a nonlinear relation is motivated by suggesting that the mass of supermassive black holes may be limited by the backreaction of the emitted energy on the accretion flow in a selfgravitating disc this would imply a relation of black hole to halo mass of the form mrm bh propto vrm halo5 propto mrm halo53 and a typical duration of the optically bright qso phase of the order of the salpeter time sim 107 yr the high integrated local mass density of black holes inferred from recent kinematic determinations of black hole masses in nearby galaxies seem to indicate that the overall efficiency of supermassive black holes for producing blue light is lower than was previously assumed we discuss three possible accretion modes with low optical emission efficiency i accretion well above the eddington rate ii accretion obscured by dust and iii accretion below the critical rate leading to an advection dominated accretion flow lasting for a hubble time we further argue that accretion with low optical efficiency might be closely related to the origin of the hard xray background,http://arxiv.org/abs/astro-ph/9809250v1,Astronomy
abridged the observed properties of supermassive black holes suggest a fundamental link between their assembly and the formation of their host spheroids we model the growth and activity of black holes in galaxies using lambdacdm cosmological hydrodynamic simulations by following the evolution of the baryonic mass component in galaxy potential wells we find that the observed steep relation between black hole mass and spheroid velocity dispersion mbh propto sigma4 is reproduced if the gas mass in bulges is linearly proportional to the black hole mass in this model black hole growth saturates because of the competition with starformation and feedback both of which determine the gas fraction available for accretion unless other processes also operate we predict that the mbhsigma relation is not set in primordial structures but is fully established at low redshifts z approxlt 2 and is shallower at earlier times we find that that central black hole masses are related to their dark matter halos simply via mbh mdm43 we assume that galaxies undergo a quasar phase with a typical lifetime tq 2times 107 yr and show that starformation regulated depletion of gas in spheroids can explain the decrease of the quasar population at redshift z3 in the optical blue band however with the simplest assumption of a redshift independent quasar lifetime the model overpredicts optical quasar numbers at high redshifts although it yields the observed evolution of number density of xray quasars over the redshift range 1 z 6 finally we find that the majority of black hole mass is assembled in galaxies by z 3 and that the black hole accretion rate density peaks in rough correspondence to the star formation rate density at z 45,http://arxiv.org/abs/astro-ph/0301586v2,Astronomy
recently it has been suggested that the majority of dark matter in the universe resides in the form of jupiter mass black holes distributed cosmologically this population makes itself apparent by microlensing high redshift quasars and introducing pronounced variability into their observed light curves while several arguments dismissing this hypothesis have been presented a conclusive observational test is alas sadly lacking in this paper we investigate the effect of a cosmologically distributed population of microlensing masses on galaxies at low to intermediate redshift the magnification of bright stars in these galaxies leads to small but observable fluctuations in their surface brightness the variability time scale for jupitermass lensing objects is of the order of a few months and this population may be detected through a future spacebased monitoring campaign of a field containing z sim 05 galaxies the monitoring of galactic surface brightness will provide an effective test of the nature of dark matter on cosmological scales,http://arxiv.org/abs/astro-ph/0004037v1,Astronomy
progress in observational cosmology over the past five years has established that the universe is dominated dynamically by dark matter and dark energy both these new and apparently independent forms of matterenergy have properties that are inconsistent with anything in the existing standard model of particle physics and it appears that the latter must be extended we review what is known about dark matter and energy from their impact on the light of the night sky most of the candidates that have been proposed so far are not perfectly black but decay into or otherwise interact with photons in characteristic ways that can be accurately modelled and compared with observational data we show how experimental limits on the intensity of cosmic background radiation in the microwave infrared optical ultraviolet xray and gammaray bands put strong limits on decaying vacuum energy light axions neutrinos unstable weaklyinteracting massive particles wimps and objects like black holes our conclusion is that the dark matter is most likely to be wimps if conventional cosmology holds or higherdimensional sources if spacetime needs to be extended,http://arxiv.org/abs/astro-ph/0407207v1,Astronomy
ultralight scalar fields provide an interesting alternative to wimps as halo dark matter in this paper we consider the effect of embedding a supermassive black hole within such a halo and estimate the absorption probability and the accretion rate of dark matter onto the black hole we show that the accretion rate would be small over the lifetime of a typical halo and hence that supermassive central black holes can coexist with scalar field halos,http://arxiv.org/abs/astro-ph/0207493v2,Astronomy
we use semianalytic modeling on top of the millennium simulation to study the joint formation of galaxies and their embedded supermassive black holes our goal is to test scenarios in which black hole accretion and quasar activity are triggered by galaxy mergers and to constrain different models for the lightcurves associated with individual quasar events in the present work we focus on studying the spatial distribution of simulated quasars at all luminosities we find that the simulated quasar twopoint correlation function is fit well by a single powerlaw in the range 05 r 20 h1 mpc but its normalization is a strong function of redshift when we select only quasars with luminosities within the range typically accessible by todays quasar surveys their clustering strength depends only weakly on luminosity in agreement with observations this holds independently of the assumed lightcurve model since bright quasars are black holes accreting close to the eddington limit and are hosted by dark matter haloes with a narrow mass range of a few 1012 h1 msun therefore the clustering of bright quasars cannot be used to disentangle lightcurve models but such a discrimination would become possible if the observational samples can be pushed to significantly fainter limits overall our clustering results for the simulated quasar population agree rather well with observations lending support to the conjecture that galaxy mergers could be the main physical process responsible for triggering black hole accretion and quasar activity,http://arxiv.org/abs/0812.0003v2,Astronomy
aims we investigate the cosmological growth of dark halos and follow the consequences of coeval growth for the accretion history of associated supermassive black holes methods the pressschechter approximation is used to obtain an analytic expression for the mean rate of growth of dark matter halos dark halo accretion rates are compared with numerical work and the consequences for understanding agn evolution are described results the mean accretion rate onto dark matter halos is shown to have a simple analytic form that agrees with previous numerical work and that may easily be calculated for a wide range of halo mass redshift and cosmological parameters the result offers a significant improvement over published fitting formulae deduced from merger trees we then consider the growth of associated supermassive black holes and make a basic test of the simple hypothesis of pure coeval evolution pce in which on average black hole growth tracks dark halo growth we demonstrate that both the absolute value of the integrated agn bolometric luminosity density and its cosmological evolution derived from hard xray surveys are wellreproduced by pce excellent agreement is found at z 05 although the observed luminosity density drops by a factor 2 compared with pce by z0 black hole growth appears to decouple from halo growth at low redshifts and this may be related to the phenomenon of cosmic downsizing overall agn evolution appears either to be caused by or to be closely linked to the slowdown in the growth of cosmic structure we also discuss the mean eddington ratio averaged over all galaxies which is predicted to show strong evolution to higher values with redshift,http://arxiv.org/abs/astro-ph/0608202v2,Astronomy
massive black hole binaries with masses in the range 1e31e8 msun are expected to be the most powerful sources of gravitational radiation at mhz frequencies and hence are among the primary targets for the planned laser interferometer space antenna lisa we extend and refine our previous analysis sesana et al 2004 detailing the gravitational wave signal expected from a cosmological population of massive black hole binaries as done in our previous paper we follow the merger history of dark matter halos the dynamics of the massive black holes they host and their growth via gas accretion and binary coalescences in a lcdm cosmology stellar dynamical processes dominates the orbital evolution of black hole binaries at large separations while gravitational wave emission takes over at small radii causing the final coalescence of the pairs we show that the gw signal from this population in a 3 year lisa observation will be resolved into approx 90 discrete events with sn5 among which approx 35 will be observed above threshold until coalescence these merging events involve relatively massive binaries m10e5 msun in the redshift range 2z6 the remaining approx 55 events come from higher redshift less massive binaries m5e3 msun at z6 and although their sn integrated over the duration of the observation can be substantial the final coalescence phase is at too high frequency to be directly observable by spacebased interferometers such as lisa lisa will be able to detect a fraction approx 90 of all the coalescences of massive black hole binaries occurring at z5 the residual confusion noise from unresolved massive black hole binaries is expected to be at least an order of magnitude below the estimated stochastic noise,http://arxiv.org/abs/astro-ph/0409255v2,Astronomy
a new scenario for the emission of highenergy gammarays from dark matter annihilation around massive black holes is presented a black hole can leave its parent halo by means of gravitational radiation recoil in a merger event or in the asymmetric collapse of its progenitor star a recoiled black hole which moves on an almostradial orbit outside the virial radius of its central halo in the cold dark matter background reaches its apapsis in a finite time near or at the apapsis passage a highdensity wake extending over a large radius of influence forms around the black hole it is shown that significant gammaray emission can result from the enhancement of neutralino annihilation in these wakes at its apapsis passage a black hole is shown to produce a flash of highenergy gammarays whose duration is determined by the mass of the black hole and the redshift at which it is ejected the ensemble of such black holes in the hubble volume is shown to produce a diffuse highenergy gammaray background whose magnitude is compared to the diffuse emission from dark matter haloes alone,http://arxiv.org/abs/0709.3321v4,Astronomy
if massive black holes constitute the dark matter in the halo surrounding the milky way the existence of low mass globular clusters in the halo suggests an upper limit to their mass mbh we use a combination of the impulse approximation and numerical simulations to constrain mbh lsim 103modot otherwise several of the halo globular clusters would be heated to disruption within one half of their lifetime taken at face value this constraint is three orders of magnitude stronger than the previous limit provided by disk heating arguments however since the initial mass function of clusters is unknown we argue that the real constraint is at most an order of magnitude weaker our results rule out cosmological scenarios such as versions of the primordial baryonic isocurvature fluctuation model which invoke the low jeans mass at early epochs to create a large population of black holes of mass sim 106modot,http://arxiv.org/abs/astro-ph/9306004v1,Astronomy
i review scenarios for the assembly of supermassive black holes mbhs at the center of galaxies that trace their hierarchical buildup far up in the dark matter halo merger tree monte carlo realizations of the merger hierarchy in a lcdm cosmology coupled to semianalytical recipes are a powerful tool to follow the merger history of halos and the dynamics and growth of the mbhs they host xray photons from miniquasars powered by intermediatemass seed holes may permeate the universe more uniformly than euv radiation make the lowdensity diffuse intergalactic medium warm and weakly ionized prior to the epoch of reionization breakthrough and set an entropy floor the spin distribution of mbhs is determined by gas accretion and is predicted to be heavily skewed towards fastrotating kerr holes to be already in place at early epochs and not to change significantly below redshift 5 decaying mbh binaries may shape the innermost central regions of galaxies and should be detected in significant numbers by lisa,http://arxiv.org/abs/astro-ph/0410526v1,Astronomy
we consider the possibility that massive primordial black holes are the dominant form of dark matter black hole formation generates entropy fluctuations that adds a poisson noise to the matter power spectrum we use lymanalpha forest observations to constrain this poisson term in matter power spectrum then we constrain the mass of black holes to be less than few times 104 solar mass we also find that structures with less than 103 primordial black holes evaporate by now,http://arxiv.org/abs/astro-ph/0302035v1,Astronomy
since the original baryonic dark matter detection from quasar microlensing was first announced in 1996 substantial strides have been made in confirming the rapid microlensing signature in the q0957 system and in other gravitational lens systems the most rapid event recognized had a 1 amplitude and a 12hour duration interpretation of the rapid fluctuations has centered upon 3 offered explanations microlensing of fine quasar structure by a population of planet mass astronomical bodies in the lens galaxy orbiting bright structures in the accretion disc of the supermassive black hole of the quasar or dark clouds swarming around the luminous quasar source the observations particularly the equal positive and negative fluctuations seem to strongly favor the cosmological population of planetary mass objects in the lens galaxy of the several ideas advanced for the origin of such a population the most appealing seems to be their birth at the time of recombination 300000 years after the big bang,http://arxiv.org/abs/astro-ph/0406491v1,Astronomy
we study the impact of astrophysical processes on the gammaray background produced by the annihilation of dark matter particles in cosmological halos with particular attention to the consequences of the formation of supermassive black holes in scenarios where these objects form adiabatically from the accretion of matter on small seeds dark matter is first compressed into very dense spikes then its density progressively decreases due to annihilations and scattering off of stellar cusps with respect to previous analyses based on nonevolving halos the predicted annihilation signal is higher and significantly distorted at low energies reflecting the large contribution to the total flux from unevolved spikes at high redshifts the peculiar spectral feature arising from the specific redshift distribution of the signal would discriminate the proposed scenario from more conventional astrophysical explanations we discuss how this affects the prospects for detection and demonstrate that the gammaray background from dm annihilations might be detectable even in absence of a signal from the galactic center,http://arxiv.org/abs/astro-ph/0703236v2,Astronomy
minor mergers of galaxies are expected to be common in a hierarchical cosmology such as lambdacdm and have the potential to significantly affect galactic structure in this paper we dissect the casebycase outcome from a set of numerical simulations of a single satellite elliptical galaxy accreting onto a massive elliptical galaxy we take care to explore cosmologically relevant orbital parameters and to set up realistic initial galaxy models that include all three relevant dynamical components dark matter halos stellar bulges and central massive black holes the effects of several different parameters are considered including orbital energy and angular momentum satellite density and inner density profile satellitetohost mass ratio and presence of a black hole at the center of the host black holes play a crucial role in protecting the shallow stellar cores of the hosts as satellites merging onto a host with a central black hole are more strongly disrupted than those merging onto hosts without black holes orbital parameters play an important role in determining the degree of disruption satellites on less bound or more eccentric orbits are more easily destroyed than those on more bound or more circular orbits as a result of an increased number of pericentric passages and greater cumulative effects of gravitational shocking and tidal stripping in addition satellites with densities typical of faint elliptical galaxies are disrupted relatively easily while denser satellites can survive much better in the tidal field of the host over the range of parameters explored we find that the accretion of a single satellite elliptical galaxy can result in a broad variety of changes in both signs in the surface brightness profile and color of the central part of an elliptical galaxy,http://arxiv.org/abs/astro-ph/0608122v2,Astronomy
the evolution of the dark matter distribution at the galactic center is analyzed which is caused by the combination of gravitational scattering on galactic bulge stars and absorption by a supermassive black hole at the center of the bulge attention is focused on the boundary condition on the black hole it is shown that its form depends on the energy of dark matter particles the modified flux of dark matter particles onto the black hole is calculated estimates of the amount of dark matter absorbed show that the fraction of dark matter in the total mass of the black hole may be significant the density of dark matter at the central part of the bulge is calculated it is shown that recently observed gamma radiation from the galactic center can be attributed to the annihilation of dark matter with this density,http://arxiv.org/abs/astro-ph/0503712v1,Astronomy
