Abstract,Link
"Understanding how seed black holes grow into intermediate and supermassive
black holes (IMBHs and SMBHs, respectively) has important implications for the
duty-cycle of active galactic nuclei (AGN), galaxy evolution, and gravitational
wave astronomy. Most studies of the cosmological growth and merger history of
black holes have used semianalytic models and have concentrated on SMBH growth
in luminous galaxies. Using high resolution cosmological N-body simulations, we
track the assembly of black holes over a large range of final masses -- from
seed black holes to SMBHs -- over widely varying dynamical histories. We used
the dynamics of dark matter halos to track the evolution of seed black holes in
three different gas accretion scenarios. We have found that growth of
Sagittarius A* - size SMBH reaches its maximum mass M_{SMBH}~10^6Msun at z~6
through early gaseous accretion episodes, after which it stays at near constant
mass. At the same redshift, the duty-cycle of the host AGN ends, hence redshift
z=6 marks the transition from an AGN to a starburst galaxy which eventually
becomes the Milky Way. By tracking black hole growth as a function of time and
mass, we estimate that the IMBH merger rate reaches a maximum of R_{max}=55
yr^-1 at z=11. From IMBH merger rates we calculate N_{ULX}=7 per Milky Way type
galaxy per redshift in redshift range 2<z<6.",http://arxiv.org/abs/astro-ph/0703540v1
"It is argued that supermassive black holes in the nuclei of galaxies most
likely have grown coevally with their host dark matter halos. A calculation
based on Press-Schechter within this framework shows that the mean rate of
accretion of matter onto such black holes varies from a value about 0.003 of
the Eddington rate at the present epoch to a value around 0.08 at redshift 3.
The bulk of AGN evolution may be explained as a reflection of the diminishing
rate of accretion of material onto galaxies. The result is almost independent
of mass of host dark matter halo and is only weakly dependent on the values of
cosmological parameters. At high redshifts, z greater than about 5, black holes
in galaxies would have been accreting close to the Eddington limit, which is
likely to lead to galactic outflows being ubiquitous at those epochs.",http://arxiv.org/abs/astro-ph/0506591v2
"Phase transitions in the early universe are prime settings for the production
of primordial black holes, since they can break the relatively quiescent
homogeneity and isotropy of Friedmann-Robertson-Walker (FRW) cosmologies. These
epochs of ""symmetry breaking,"" moreover, can affect the subsequent development
of spacetime by changing the evolution of some FRW parameters, including the
present age and density of the universe. We discuss the relative importance of
such effects on constraining mechanisms of black hole formation.",http://arxiv.org/abs/astro-ph/0003062v1
"We investigate the coupled formation and evolution of galaxies and their
embedded supermassive black holes using state-of-the-art hydrodynamic
simulations of cosmological structure formation. For the first time, we
self-consistently follow the dark matter dynamics, radiative gas cooling, star
formation, as well as black hole growth and associated feedback processes,
starting directly from initial conditions appropriate for the LambdaCDM
cosmology. Our modeling of the black hole physics is based on an approach we
have developed in simulations of isolated galaxy mergers. Here we examine: (i)
the predicted global history of black hole mass assembly (ii) the evolution of
the local black hole-host mass correlations and (iii) the conditions that allow
rapid growth of the first quasars, and the properties of their hosts and
descendants today. We find a total black hole mass density in good agreement
with observational estimates. The black hole accretion rate density peaks at
lower redshift and evolves more strongly at high redshift than the star
formation rate density, but the ratio of black hole to stellar mass densities
shows only a moderate evolution at low redshifts. We find strong correlations
between black hole masses and properties of the stellar systems, agreeing well
with the measured local M_BH-sigma and M_BH -M_* relationships, but also
suggesting (dependent on the mass range) a weak evolution with redshift in the
normalization and the slope. Our simulations also produce massive black holes
at high redshift, due to extended periods of exponential growth in regions that
collapse early and exhibit strong gas inflows. These first supermassive BH
systems however are not necessarily the most massive ones today, since they are
often overtaken in growth by quasars that form later. (abridged)",http://arxiv.org/abs/0705.2269v1
"We study a cosmological model in which the boson dark matter gradually
condensates into dark energy. Negative pressure associated with the condensate
yields the accelerated expansion of the Universe and the rapid collapse of the
smallest scale fluctuations into many black holes, which become the seeds of
the first galaxies. The cycle of gradual sedimentation and rapid collapse of
condensate repeats many times and self-regularizes the ratio of dark energy and
dark matter to be order one.",http://arxiv.org/abs/astro-ph/0403571v1
"The physical basis of the modern cosmological inflationary models with
baryosynthesis and nonbaryonic dark matter and energy implies such predictions
of particle theory, that, in turn, apply to cosmology for their test. It makes
physics of early Universe ambiguous and particle model dependent. The study of
modern cosmology is inevitably linked with the probe for the new physics,
underlying it. The particle model dependent phenomena, such as unstable dark
matter, primordial black holes, strong primordial inhomogeneities, can play
important role in revealing the true physical cosmology. Such phenomena, having
serious physical grounds and leading to new nontrivial cosmological scenarious,
should be taken into account in the data analysis of observational cosmology.",http://arxiv.org/abs/astro-ph/0309703v1
"This poster discusses a possible explanation for the relationship between the
mass of the central supermassive black hole and the velocity dispersion in the
bulge of the host galaxy. We suppose that the black hole and the dark matter
halo are forming simultaneously as matter falls in, and a self-similar system
then exists in which the mass and the velocities of the system evolve as
power-law functions of time. This leads naturally to a relationship between the
black hole mass and the velocities in the halo which, with a reasonable choice
of cosmological parameters, is in good agreement with the observed
relationship. We also confirm this relationship with more robust numerical
results.",http://arxiv.org/abs/astro-ph/0212278v2
"We describe the model of protogalaxy formation around the cluster of
primordial black holes with a minimum extension of standard cosmological model.
Namely, it is supposed, that a mass fraction of the universe ~10^-3 is composed
of the compact clusters of primordial (relict) black holes produced during the
phase transitions in the early universe. These clusters are the centers of the
dark matter (DM) condensations. As a result the protogalaxies with a mass
2x10^8Msun form at the redshift z=15. These induced protogalaxies contain the
central black holes of mass ~10^5Msun and look like the dwarf spheroidal
galaxies with a central density spike. Subsequent merging of the induced
protogalaxies and ordinary DM haloes leads to the standard scenario of the
large scale structure formation. Black holes merging gives the nowadays
supermassive black holes and reproduces the observed correlations between their
masses and velocity dispersions in the bulges.",http://arxiv.org/abs/astro-ph/0412479v1
"This work is related to different questions within cosmology. The principal
idea herein is to develop cosmological knowledge making use of the analyses of
observational data in order to find the values of the matter density Omega_m
and vacuum energy density Omega_Lambda.
  Data fitting is carried out using two statistical methods, chi^2 and maximum
likelihood. The data analysis exhibits that a low density and flat Universe is
strongly favoured.
  Applying the Omega_m value found for clusters of galaxies, we demonstrate
that clusters have very little room for baryonic dark matter. An upper limit to
the small but non-negligible sum of baryonic dark matter and galaxy mass can be
estimated, requiring the use of special statistics.
  A Toroidal Black Hole (TBH) study, in contrast to the Spherical Black Hole
(SBH), shows that the TBH can be used as an important tool in explaining AGN
phenomena.",http://arxiv.org/abs/astro-ph/0210253v1
"We incorporate a simple scheme for the growth of supermassive black holes
into semi-analytic models that follow the formation and evolution of galaxies
in a cold dark matter dominated Universe. We assume that supermassive black
holes are formed and fuelled during major mergers. If two galaxies of
comparable mass merge, their central black holes coalesce and a few percent of
the gas in the merger remnant is accreted by the new black hole over a
timescale of a few times 10^7 years. With these simple assumptions, our model
not only fits many aspects of the observed evolution of galaxies, but also
reproduces quantitatively the observed relation between bulge luminosity and
black hole mass in nearby galaxies, the strong evolution of the quasar
population with redshift and the relation between the luminosities of nearby
quasars and those of their host galaxies. The strong decline in the number
density of quasars from z=2 to z=0 is due to the combination of three effects:
i) a decrease in the merging rate, ii) a decrease in the amount of cold gas
available to fuel black holes, and iii) an increase in the timescale for gas
accretion. In a LCDM cosmology the predicted decline in the total content of
cold gas in galaxies is consistent with that inferred from observations of
damped Lyman-alpha systems. Our results strongly suggest that the evolution of
supermassive black holes, quasars and starbursts is inextricably linked to the
hierarchical build-up of galaxies.",http://arxiv.org/abs/astro-ph/9906493v1
"If the dark matter in galactic halos is made up of compact, macroscopic
objects (MO), such as black holes with $M_\MO >>M_{stars}$, gravitational
scattering will lead to kinematic heating of the stars. Observational
constraints on the amount of heating in the disk of the Milky Way put upper
limits on $M_\MO \ltorder 10^{6.3}\msun $. We find limits that are three orders
of magnitude more stringent by examining the heating limits in low mass stellar
systems, where higher densities of dark matter and lower relative velocities
disperse the stars in less than a billion years. Specifically, the structure
and kinematics of the Local Group member GR8 yield a limit of $M_\MO \ltorder
6\times 10^{3}\msun$. If the properties of the dark matter are universal these
results preclude the dominance of dark matter constituents in the
cosmologically interesting mass range $\sim 10^6\msun$ and limit them to $M_\MO
\ltorder 10^{3.7}\msun$. These results also rule out massive compact halo
objects as significant contributors to the kinematic heating of the Galactic
disk.",http://arxiv.org/abs/astro-ph/9308022v1
"Dark matter in the Universe consisting of macroscopic objects such as
primordial black holes may cause gravitational lensing of distant objects. The
magnification associated with lensing will lead to additional scatter in the
received flux from standard candles, and too small an observed scatter could
rule out compact dark matter entirely. In this letter, we show how the scatter
in fluxes of distant Type 1a supernovae could be used to distinguish between
models with and without lensing by macroscopic dark matter. The proposed SNAP
project, with $\sim 2400$ supernovae in the range $0.1\ls z\ls 1.7$, should be
able to identify models at 99.9% confidence, if systematic errors are
controlled. Note that this test is independent of any evolution of the mean
supernova luminosity with redshift. The variances of the current Supernova
Cosmology Project sample do not rule out compact lenses as dark matter:
formally they favour such a population, but the significance is low, and
removal of a single faint supernova from the sample reverses the conclusion.",http://arxiv.org/abs/astro-ph/0104221v2
"The possibility that the masses of supermassive black holes (SBHs) correlate
with the total gravitational mass of their host galaxy, or the mass of the dark
matter halo in which they presumably formed, is investigated using a sample of
16 spiral and 20 elliptical galaxies. The bulge velocity dispersion, typically
defined within an aperture of size less than 0.5 kpc, is found to correlate
tightly with the galaxy's circular velocity, the latter measured at distances
from the galactic center at which the rotation curve is flat, 20 to 80kpc. By
using the well known M-sigma relation for SBHs, and a prescription to relate
the circular velocity to the mass of the dark matter halo in a standard CDM
cosmology, the correlation between velocity dispersion and circular velocity is
equivalent to one between SBH and halo masses. Such a correlation is found to
be nonlinear, with the ratio between the two masses decreasing from 2X10^-4 for
halos of 10^14 solar masses, to 10^-5 for halos of 10^12 solar masses.
Preliminary evidence suggests that halos smaller than ~5X10^11 solar masses are
increasingly less efficient -- perhaps unable -- at forming SBHs.",http://arxiv.org/abs/astro-ph/0203469v2
"The astrophysical processes that led to the formation of the first seed black
holes and to their growth into the supermassive variety that powers bright
quasars at redshift 6 are poorly understood. In standard LCDM hierarchical
cosmologies, the earliest massive holes (MBHs) likely formed at redshift z~15
at the centers of low-mass (M>5e5 solar masses) dark matter ``minihalos'', and
produced hard radiation by accretion. FUV/X-ray photons from such
``miniquasars'' may have permeated the universe more uniformly than EUV
radiation, reduced gas clumping, and changed the chemistry of primordial gas.
The role of accreting seed black holes in determining the thermal and
ionization state of the intergalactic medium depends on the amount of cold and
dense gas that forms and gets retained in protogalaxies after the formation of
the first stars. The highest resolution N-body simulation to date of Galactic
substructure shows that subhalos below the atomic cooling mass were very
inefficient at forming stars.",http://arxiv.org/abs/astro-ph/0701394v1
"We show that the luminosity function of the actively star-forming Lyman break
galaxies and the B-band quasar luminosity function at $z = 3$ can be fit
reasonably well with the mass function of collapsed galaxy scale dark matter
haloes predicted by viable variants of hierarchical cold dark matter dominated
cosmological models for lifetimes $t_Q$ of the optically bright phase of QSOs
in the range $10^{6}$ to $10^{8}$ yr. There is a strong correlation between
$t_Q$ and the required degree of non-linearity in the relation between black
hole and host halo mass. Such a non-linear relation is motivated by suggesting
that the mass of supermassive black holes may be limited by the back-reaction
of the emitted energy on the accretion flow in a self-gravitating disc. This
would imply a relation of black hole to halo mass of the form $M_{\rm bh}
\propto v_{\rm halo}^5 \propto M_{\rm halo}^{5/3}$ and a typical duration of
the optically bright QSO phase of the order of the Salpeter time, $\sim 10^{7}$
yr. The high integrated local mass density of black holes inferred from recent
kinematic determinations of black hole masses in nearby galaxies seem to
indicate that the overall efficiency of supermassive black holes for producing
blue light is lower than was previously assumed. We discuss three possible
accretion modes with low optical emission efficiency: (i) accretion well above
the Eddington rate, (ii) accretion obscured by dust, and (iii) accretion below
the critical rate leading to an advection dominated accretion flow lasting for
a Hubble time. We further argue that accretion with low optical efficiency
might be closely related to the origin of the hard X-ray background.",http://arxiv.org/abs/astro-ph/9809250v1
"(abridged) The observed properties of supermassive black holes suggest a
fundamental link between their assembly and the formation of their host
spheroids. We model the growth and activity of black holes in galaxies using
LambdaCDM cosmological hydrodynamic simulations by following the evolution of
the baryonic mass component in galaxy potential wells. We find that the
observed steep relation between black hole mass and spheroid velocity
dispersion, M_BH propto \sigma^4, is reproduced if the gas mass in bulges is
linearly proportional to the black hole mass. In this model, black hole growth
saturates because of the competition with star-formation and feedback, both of
which determine the gas fraction available for accretion. Unless other
processes also operate, we predict that the M_BH-sigma$ relation is not set in
primordial structures but is fully established at low redshifts, $z \approxlt
2$, and is shallower at earlier times. We find that that central black hole
masses are related to their dark matter halos simply via M_BH ~ M_DM^4/3. We
assume that galaxies undergo a quasar phase with a typical lifetime, t_Q ~
2\times 10^7 yr and show that star-formation regulated depletion of gas in
spheroids can explain the decrease of the quasar population at redshift z<3 in
the optical blue band. However, with the simplest assumption of a redshift
independent quasar lifetime, the model overpredicts optical quasar numbers at
high redshifts although it yields the observed evolution of number density of
X-ray quasars over the redshift range 1 < z< 6. Finally, we find that the
majority of black hole mass is assembled in galaxies by z ~ 3 and that the
black hole accretion rate density peaks in rough correspondence to the star
formation rate density at z ~ 4-5.",http://arxiv.org/abs/astro-ph/0301586v2
"Recently it has been suggested that the majority of dark matter in the
universe resides in the form of Jupiter mass black holes distributed
cosmologically. This population makes itself apparent by microlensing high
redshift quasars and introducing pronounced variability into their observed
light curves. While several arguments dismissing this hypothesis have been
presented, a conclusive observational test is, alas, sadly lacking. In this
paper we investigate the effect of a cosmologically distributed population of
microlensing masses on galaxies at low to intermediate redshift. The
magnification of bright stars in these galaxies leads to small, but observable,
fluctuations in their surface brightness. The variability time scale for
Jupiter-mass lensing objects is of the order of a few months and this
population may be detected through a future space-based monitoring campaign of
a field containing $z \sim 0.5$ galaxies. The monitoring of galactic surface
brightness will provide an effective test of the nature of dark matter on
cosmological scales.",http://arxiv.org/abs/astro-ph/0004037v1
"Progress in observational cosmology over the past five years has established
that the Universe is dominated dynamically by dark matter and dark energy. Both
these new and apparently independent forms of matter-energy have properties
that are inconsistent with anything in the existing standard model of particle
physics, and it appears that the latter must be extended. We review what is
known about dark matter and energy from their impact on the light of the night
sky. Most of the candidates that have been proposed so far are not perfectly
black, but decay into or otherwise interact with photons in characteristic ways
that can be accurately modelled and compared with observational data. We show
how experimental limits on the intensity of cosmic background radiation in the
microwave, infrared, optical, ultraviolet, x-ray and gamma-ray bands put strong
limits on decaying vacuum energy, light axions, neutrinos, unstable
weakly-interacting massive particles (WIMPs) and objects like black holes. Our
conclusion is that the dark matter is most likely to be WIMPs if conventional
cosmology holds; or higher-dimensional sources if spacetime needs to be
extended.",http://arxiv.org/abs/astro-ph/0407207v1
"Ultra-light scalar fields provide an interesting alternative to WIMPS as halo
dark matter. In this paper we consider the effect of embedding a supermassive
black hole within such a halo, and estimate the absorption probability and the
accretion rate of dark matter onto the black hole. We show that the accretion
rate would be small over the lifetime of a typical halo, and hence that
supermassive central black holes can coexist with scalar field halos.",http://arxiv.org/abs/astro-ph/0207493v2
"We use semi-analytic modeling on top of the Millennium simulation to study
the joint formation of galaxies and their embedded supermassive black holes.
  Our goal is to test scenarios in which black hole accretion and quasar
activity are triggered by galaxy mergers, and to constrain different models for
the lightcurves associated with individual quasar events. In the present work
we focus on studying the spatial distribution of simulated quasars. At all
luminosities, we find that the simulated quasar two-point correlation function
is fit well by a single power-law in the range 0.5 < r < 20 h^{-1} Mpc, but its
normalization is a strong function of redshift. When we select only quasars
with luminosities within the range typically accessible by today's quasar
surveys, their clustering strength depends only weakly on luminosity, in
agreement with observations. This holds independently of the assumed lightcurve
model, since bright quasars are black holes accreting close to the Eddington
limit, and are hosted by dark matter haloes with a narrow mass range of a few
10^12 h^{-1} M_sun. Therefore the clustering of bright quasars cannot be used
to disentangle lightcurve models, but such a discrimination would become
possible if the observational samples can be pushed to significantly fainter
limits.
  Overall, our clustering results for the simulated quasar population agree
rather well with observations, lending support to the conjecture that galaxy
mergers could be the main physical process responsible for triggering black
hole accretion and quasar activity.",http://arxiv.org/abs/0812.0003v2
"Aims: We investigate the cosmological growth of dark halos and follow the
consequences of coeval growth for the accretion history of associated
supermassive black holes. Methods: The Press-Schechter approximation is used to
obtain an analytic expression for the mean rate of growth of dark matter halos.
Dark halo accretion rates are compared with numerical work and the consequences
for understanding AGN evolution are described. Results: The mean accretion rate
onto dark matter halos is shown to have a simple analytic form that agrees with
previous numerical work and that may easily be calculated for a wide range of
halo mass, redshift and cosmological parameters. The result offers a
significant improvement over published fitting formulae deduced from merger
trees. We then consider the growth of associated supermassive black holes, and
make a basic test of the simple hypothesis of `Pure Coeval Evolution' (PCE) in
which, on average, black hole growth tracks dark halo growth. We demonstrate
that both the absolute value of the integrated AGN bolometric luminosity
density and its cosmological evolution derived from hard X-ray surveys are
well-reproduced by PCE. Excellent agreement is found at z >~ 0.5, although the
observed luminosity density drops by a factor 2 compared with PCE by z=0: black
hole growth appears to decouple from halo growth at low redshifts, and this may
be related to the phenomenon of `cosmic downsizing'. Overall, AGN evolution
appears either to be caused by or to be closely linked to the slow-down in the
growth of cosmic structure. We also discuss the mean Eddington ratio averaged
over all galaxies, which is predicted to show strong evolution to higher values
with redshift.",http://arxiv.org/abs/astro-ph/0608202v2
"Massive black hole binaries, with masses in the range 1E3-1E8 Msun, are
expected to be the most powerful sources of gravitational radiation at mHz
frequencies, and hence are among the primary targets for the planned Laser
Interferometer Space Antenna (LISA). We extend and refine our previous analysis
(Sesana et al. 2004), detailing the gravitational wave signal expected from a
cosmological population of massive black hole binaries. As done in our previous
paper, we follow the merger history of dark matter halos, the dynamics of the
massive black holes they host, and their growth via gas accretion and binary
coalescences in a LCDM cosmology. Stellar dynamical processes dominates the
orbital evolution of black hole binaries at large separations, while
gravitational wave emission takes over at small radii, causing the final
coalescence of the pairs. We show that the GW signal from this population, in a
3 year LISA observation, will be resolved into approx 90 discrete events with
S/N>5, among which approx. 35 will be observed above threshold until
coalescence. These ""merging events"" involve relatively massive binaries, M=10E5
Msun, in the redshift range 2<z<6. The remaining approx. 55 events come from
higher redshift, less massive binaries (M=5E3 Msun at z>6) and, although their
S/N integrated over the duration of the observation can be substantial, the
final coalescence phase is at too high frequency to be directly observable by
space-based interferometers such as LISA. LISA will be able to detect a
fraction approx. 90% of all the coalescences of massive black hole binaries
occurring at z=5. The residual confusion noise from unresolved massive black
hole binaries is expected to be at least an order of magnitude below the
estimated stochastic noise.",http://arxiv.org/abs/astro-ph/0409255v2
"A new scenario for the emission of high-energy gamma-rays from dark matter
annihilation around massive black holes is presented. A black hole can leave
its parent halo, by means of gravitational radiation recoil, in a merger event
or in the asymmetric collapse of its progenitor star. A recoiled black hole
which moves on an almost-radial orbit outside the virial radius of its central
halo, in the cold dark matter background, reaches its apapsis in a finite time.
Near or at the apapsis passage, a high-density wake extending over a large
radius of influence, forms around the black hole. It is shown that significant
gamma-ray emission can result from the enhancement of neutralino annihilation
in these wakes. At its apapsis passage, a black hole is shown to produce a
flash of high-energy gamma-rays whose duration is determined by the mass of the
black hole and the redshift at which it is ejected. The ensemble of such black
holes in the Hubble volume is shown to produce a diffuse high-energy gamma-ray
background whose magnitude is compared to the diffuse emission from dark matter
haloes alone.",http://arxiv.org/abs/0709.3321v4
"If massive black holes constitute the dark matter in the halo surrounding the
Milky Way, the existence of low mass globular clusters in the halo suggests an
upper limit to their mass, $M_{_{BH}}$. We use a combination of the impulse
approximation and numerical simulations to constrain $M_{_{BH}} \lsim
10^3M_\odot$, otherwise several of the halo globular clusters would be heated
to disruption within one half of their lifetime. Taken at face value, this
constraint is three orders of magnitude stronger than the previous limit
provided by disk heating arguments. However, since the initial mass function of
clusters is unknown, we argue that the real constraint is at most, an order of
magnitude weaker. Our results rule out cosmological scenarios, such as versions
of the Primordial Baryonic Isocurvature fluctuation model, which invoke the low
Jeans mass at early epochs to create a large population of black holes of mass
$\sim 10^6M_\odot$.",http://arxiv.org/abs/astro-ph/9306004v1
"I review scenarios for the assembly of supermassive black holes (MBHs) at the
center of galaxies that trace their hierarchical build-up far up in the dark
matter halo ""merger tree"". Monte Carlo realizations of the merger hierarchy in
a LCDM cosmology, coupled to semi-analytical recipes, are a powerful tool to
follow the merger history of halos and the dynamics and growth of the MBHs they
host. X-ray photons from miniquasars powered by intermediate-mass ""seed"" holes
may permeate the universe more uniformly than EUV radiation, make the
low-density diffuse intergalactic medium warm and weakly ionized prior to the
epoch of reionization breakthrough, and set an entropy floor. The spin
distribution of MBHs is determined by gas accretion, and is predicted to be
heavily skewed towards fast-rotating Kerr holes, to be already in place at
early epochs, and not to change significantly below redshift 5. Decaying MBH
binaries may shape the innermost central regions of galaxies and should be
detected in significant numbers by LISA.",http://arxiv.org/abs/astro-ph/0410526v1
"We consider the possibility that massive primordial black holes are the
dominant form of dark matter. Black hole formation generates entropy
fluctuations that adds a Poisson noise to the matter power spectrum. We use
Lyman-alpha forest observations to constrain this Poisson term in matter power
spectrum, then we constrain the mass of black holes to be less than few times
10^4 solar mass. We also find that structures with less than ~ 10^3 primordial
black holes evaporate by now.",http://arxiv.org/abs/astro-ph/0302035v1
